Player Name,Player ID,Wickets Taken,WicketValues,Num_Bowl_Innings,WicketValue_AVG,Wickets_AVG,WicketValues_normed,WicketValue_AVG_normed,Bowling_Combined_Score
hassan ali,97.0,30,34.746702121212124,14,2.4819072943722946,2.142857142857143,1.0,1.0,100.0
shaheen shah afridi,113.0,19,30.729429545454547,12,2.5607857954545454,1.5833333333333333,1.0,1.0,100.0
m. ali,13.0,25,28.92009696969697,13,2.2246228438228437,1.9230769230769231,0.9503490713859125,1.0,97.02094428315475
usman tariq,14.0,32,39.05153361111112,20,1.952576680555556,1.6,1.0,0.92196455968218,96.8785823872872
shahid aziz,115.0,23,29.758554915824917,15,1.9839036610549945,1.5333333333333334,0.9829693414652595,0.9436686266049099,96.72490555211196
abbas afridi,57.0,19,28.00293903508772,14,2.0002099310776944,1.3571428571428572,0.9146669722770271,0.9549659929705936,93.07865805544537
nisar ahmed,441.0,26,30.48813659969258,17,1.7934197999819166,1.5294117647058822,1.0,0.8116969394994716,92.46787757997888
faheem ashraf,56.0,23,29.67691035537562,19,1.5619426502829274,1.2105263157894737,0.979792953639651,0.6513241404600091,84.84054283677943
akif javed,437.0,19,24.41757305555556,13,1.8782748504273508,1.4615384615384615,0.7751780365161459,0.8704865088814404,81.33014254622637
abrar ahmed,1.0,16,22.123782222222225,11,2.0112529292929295,1.4545454545454546,0.6859379299199755,0.9626168411682149,79.66094944192713
ubaid shah,11.0,20,27.152244941520472,18,1.5084580523066928,1.1111111111111112,0.8815706539521551,0.6142687564011368,77.46498949317478
muhammad musa khan,125.0,18,22.014604040404045,12,1.834550336700337,1.5,0.6816903444636888,0.8401931401313967,74.50914627307719
khurram shahzad,292.0,16,20.663033564213567,12,1.721919463684464,1.3333333333333333,0.6291073924286953,0.7621598293389372,68.2328367192792
haris rauf,2.0,17,21.27311536231884,13,1.6363934894091416,1.3076923076923077,0.6528426711228645,0.702905428189853,67.28677739496598
ali raza,102.0,16,22.335415824915824,15,1.489027721661055,1.0666666666666667,0.6941715513074422,0.6008069675552168,65.68257178065521
shadab khan,90.0,14,18.79215909090909,11,1.7083780991735538,1.2727272727272727,0.5563208789421437,0.7527780543678338,63.49037491124197
khuram shahzad,42.0,16,18.743270324120324,12,1.5619391936766938,1.3333333333333333,0.5544188577568707,0.6513217456421292,59.31800129109742
m wasim jr.,96.0,16,19.486258034894398,13,1.4989429257611075,1.2307692307692308,0.5833248510783147,0.6076764535353266,59.306549206111946
usama mir,103.0,15,20.637973989898992,16,1.289873374368687,0.9375,0.6281324477865818,0.46282816421463907,56.20107343578047
